simulation,days,infected,uninfected
0,0,2,18
1,0,3,17
2,0,4,16
3,0,3,17
4,0,3,17
5,0,2,18
6,0,1,19
7,0,2,18
8,0,3,17
9,0,3,17
10,0,2,18
11,0,5,15
12,0,2,18
13,0,3,17
14,0,1,19
15,0,3,17
16,0,2,18
17,0,3,17
18,0,2,18
19,0,5,15
20,0,3,17
21,0,2,18
22,0,2,18
23,0,4,16
24,0,4,16
25,0,3,17
26,0,4,16
27,0,2,18
28,0,3,17
29,0,4,16
30,0,2,18
31,0,3,17
32,0,3,17
33,0,2,18
34,0,4,16
35,0,3,17
36,0,2,18
37,0,1,19
38,0,4,16
39,0,2,18
40,0,4,16
41,0,3,17
42,1,8,12
43,0,3,17
44,0,4,16
45,3,14,6
46,0,2,18
47,0,1,19
48,0,2,18
49,0,4,16
50,0,5,15
51,0,1,19
52,0,5,15
53,0,2,18
54,0,3,17
55,0,2,18
56,0,1,19
57,0,5,15
58,0,1,19
59,0,5,15
60,0,3,17
61,0,3,17
62,0,2,18
63,0,2,18
64,0,3,17
65,0,1,19
66,0,1,19
67,0,3,17
68,0,1,19
69,0,2,18
70,0,2,18
71,0,3,17
72,0,1,19
73,0,3,17
74,0,4,16
75,0,5,15
76,0,4,16
77,0,5,15
78,0,5,15
79,0,4,16
80,0,1,19
81,0,3,17
82,0,2,18
83,0,4,16
84,0,4,16
85,0,5,15
86,0,2,18
87,0,4,16
88,0,3,17
89,0,1,19
90,0,5,15
91,0,3,17
92,0,3,17
93,0,3,17
94,0,3,17
95,0,2,18
96,0,2,18
97,0,3,17
98,0,3,17
99,0,4,16
100,0,2,18
101,0,2,18
102,0,4,16
103,0,2,18
104,0,1,19
105,0,5,15
106,0,5,15
107,0,3,17
108,2,9,11
109,0,2,18
110,1,9,11
111,0,5,15
112,0,4,16
113,0,3,17
114,0,4,16
115,1,7,13
116,0,4,16
117,0,1,19
118,0,3,17
119,0,4,16
120,0,4,16
121,0,3,17
122,0,4,16
123,0,5,15
124,0,5,15
125,0,2,18
126,0,4,16
127,0,4,16
128,0,2,18
129,0,5,15
130,0,2,18
131,0,2,18
132,0,3,17
133,0,2,18
134,0,2,18
135,0,5,15
136,0,5,15
137,0,2,18
138,0,5,15
139,0,1,19
140,0,2,18
141,0,2,18
142,0,2,18
143,0,3,17
144,0,1,19
145,0,2,18
146,0,1,19
147,0,4,16
148,0,3,17
149,0,2,18
150,0,2,18
151,0,4,16
152,0,4,16
153,0,4,16
154,0,2,18
155,0,3,17
156,0,4,16
157,0,3,17
158,0,3,17
159,0,5,15
160,0,2,18
161,0,4,16
162,0,2,18
163,0,2,18
164,1,10,10
165,0,1,19
166,1,8,12
167,0,4,16
168,0,1,19
169,0,1,19
170,0,3,17
171,0,2,18
172,0,2,18
173,0,5,15
174,0,3,17
175,0,3,17
176,0,4,16
177,0,1,19
178,0,1,19
179,0,1,19
180,0,1,19
181,0,2,18
182,0,3,17
183,0,1,19
184,0,2,18
185,0,1,19
186,0,2,18
187,0,1,19
188,0,2,18
189,0,2,18
190,0,2,18
191,0,3,17
192,0,4,16
193,0,1,19
194,0,5,15
195,0,2,18
196,0,5,15
197,0,4,16
198,0,3,17
199,0,5,15
200,0,2,18
201,0,5,15
202,0,3,17
203,0,2,18
204,0,4,16
205,0,3,17
206,0,3,17
207,0,2,18
208,0,3,17
209,0,2,18
210,0,3,17
211,0,3,17
212,0,2,18
213,0,2,18
214,0,2,18
215,0,2,18
216,0,3,17
217,0,2,18
218,0,2,18
219,0,1,19
220,0,2,18
221,1,9,11
222,0,4,16
223,0,3,17
224,0,2,18
225,0,2,18
226,0,3,17
227,0,2,18
228,0,4,16
229,0,1,19
230,0,3,17
231,0,1,19
232,0,2,18
233,0,2,18
234,0,3,17
235,0,4,16
236,0,2,18
237,0,2,18
238,0,2,18
239,0,3,17
240,0,1,19
241,0,3,17
242,0,3,17
243,0,4,16
244,0,3,17
245,0,1,19
246,0,3,17
247,0,2,18
248,0,2,18
249,0,4,16
250,0,4,16
251,0,2,18
252,0,1,19
253,0,4,16
254,0,2,18
255,1,9,11
256,0,1,19
257,0,1,19
258,1,8,12
259,0,1,19
260,0,3,17
261,0,2,18
262,0,3,17
263,0,3,17
264,0,3,17
265,0,1,19
266,0,3,17
267,0,2,18
268,0,5,15
269,0,4,16
270,0,4,16
271,0,2,18
272,0,2,18
273,0,4,16
274,0,2,18
275,0,2,18
276,0,3,17
277,0,1,19
278,0,2,18
279,0,3,17
280,0,1,19
281,0,3,17
282,0,2,18
283,0,2,18
284,0,4,16
285,0,1,19
286,0,4,16
287,0,1,19
288,0,3,17
289,1,7,13
290,0,3,17
291,0,5,15
292,0,3,17
293,0,2,18
294,0,3,17
295,0,5,15
296,0,2,18
297,0,4,16
298,0,4,16
299,0,3,17
300,0,2,18
301,0,2,18
302,0,5,15
303,0,3,17
304,0,2,18
305,0,1,19
306,0,3,17
307,0,2,18
308,0,1,19
309,1,9,11
310,0,2,18
311,0,1,19
312,0,2,18
313,0,2,18
314,0,1,19
315,0,1,19
316,0,2,18
317,0,5,15
318,1,8,12
319,0,2,18
320,0,4,16
321,0,4,16
322,0,3,17
323,1,7,13
324,0,2,18
325,0,3,17
326,0,5,15
327,0,3,17
328,0,4,16
329,0,4,16
330,1,6,14
331,0,4,16
332,0,3,17
333,0,2,18
334,0,3,17
335,0,3,17
336,0,2,18
337,0,3,17
338,0,4,16
339,0,2,18
340,0,2,18
341,0,5,15
342,0,2,18
343,0,3,17
344,0,2,18
345,0,2,18
346,0,2,18
347,0,4,16
348,0,5,15
349,2,12,8
350,0,1,19
351,0,3,17
352,0,3,17
353,0,3,17
354,0,4,16
355,0,1,19
356,0,2,18
357,0,2,18
358,0,2,18
359,0,3,17
360,0,4,16
361,0,3,17
362,0,5,15
363,0,2,18
364,0,1,19
365,0,1,19
366,0,4,16
367,0,4,16
368,0,4,16
369,0,4,16
370,0,2,18
371,0,3,17
372,0,2,18
373,0,4,16
374,0,2,18
375,0,2,18
376,1,7,13
377,0,3,17
378,0,1,19
379,0,3,17
380,0,2,18
381,0,3,17
382,0,4,16
383,0,2,18
384,0,5,15
385,0,4,16
386,0,4,16
387,0,3,17
388,0,1,19
389,0,2,18
390,0,4,16
391,0,2,18
392,0,2,18
393,0,2,18
394,0,3,17
395,0,2,18
396,0,2,18
397,0,2,18
398,0,3,17
399,0,2,18
400,0,3,17
401,0,5,15
402,0,2,18
403,0,2,18
404,0,2,18
405,0,5,15
406,0,3,17
407,0,3,17
408,0,3,17
409,0,2,18
410,0,2,18
411,0,4,16
412,0,3,17
413,0,3,17
414,0,2,18
415,0,3,17
416,0,1,19
417,0,4,16
418,0,4,16
419,0,4,16
420,0,1,19
421,0,2,18
422,0,1,19
423,0,2,18
424,0,5,15
425,0,2,18
426,0,3,17
427,0,1,19
428,0,3,17
429,0,1,19
430,0,3,17
431,0,4,16
432,0,4,16
433,0,4,16
434,0,3,17
435,0,2,18
436,0,3,17
437,0,3,17
438,0,1,19
439,0,2,18
440,0,5,15
441,0,1,19
442,0,3,17
443,0,2,18
444,0,3,17
445,0,3,17
446,0,2,18
447,0,3,17
448,0,2,18
449,1,8,12
450,0,3,17
451,0,3,17
452,0,3,17
453,0,4,16
454,0,5,15
455,0,2,18
456,0,4,16
457,0,3,17
458,0,2,18
459,0,3,17
460,0,4,16
461,0,2,18
462,0,5,15
463,0,3,17
464,0,2,18
465,0,3,17
466,0,4,16
467,0,3,17
468,0,2,18
469,0,3,17
470,0,4,16
471,0,2,18
472,0,3,17
473,0,5,15
474,0,3,17
475,0,1,19
476,0,4,16
477,0,2,18
478,0,2,18
479,0,4,16
480,0,2,18
481,0,4,16
482,0,2,18
483,0,1,19
484,0,3,17
485,0,3,17
486,0,1,19
487,0,3,17
488,0,3,17
489,0,2,18
490,0,4,16
491,0,5,15
492,0,3,17
493,0,1,19
494,0,3,17
495,0,2,18
496,0,2,18
497,0,3,17
498,0,5,15
499,0,2,18
500,0,3,17
501,0,4,16
502,0,3,17
503,0,3,17
504,0,3,17
505,0,2,18
506,0,2,18
507,1,7,13
508,0,2,18
509,0,2,18
510,0,2,18
511,0,3,17
512,0,2,18
513,0,2,18
514,0,5,15
515,0,2,18
516,0,1,19
517,0,3,17
518,0,3,17
519,0,3,17
520,0,2,18
521,0,2,18
522,0,3,17
523,1,7,13
524,1,9,11
525,0,3,17
526,0,2,18
527,0,4,16
528,0,4,16
529,0,2,18
530,0,5,15
531,0,2,18
532,0,1,19
533,0,2,18
534,0,1,19
535,0,2,18
536,0,3,17
537,0,1,19
538,0,3,17
539,0,4,16
540,0,3,17
541,0,1,19
542,0,4,16
543,0,2,18
544,0,3,17
545,0,2,18
546,0,4,16
547,0,3,17
548,0,4,16
549,0,4,16
550,0,2,18
551,0,3,17
552,0,1,19
553,0,4,16
554,0,2,18
555,0,1,19
556,0,5,15
557,0,2,18
558,1,8,12
559,0,3,17
560,0,3,17
561,0,3,17
562,0,1,19
563,0,1,19
564,0,3,17
565,0,2,18
566,0,1,19
567,0,3,17
568,0,3,17
569,0,2,18
570,0,1,19
571,0,2,18
572,0,3,17
573,0,1,19
574,1,8,12
575,0,5,15
576,0,5,15
577,0,2,18
578,0,4,16
579,0,3,17
580,0,2,18
581,0,1,19
582,0,1,19
583,0,2,18
584,0,1,19
585,0,2,18
586,0,2,18
587,0,2,18
588,0,4,16
589,0,3,17
590,0,2,18
591,0,4,16
592,0,4,16
593,0,2,18
594,0,2,18
595,0,4,16
596,0,1,19
597,0,1,19
598,1,7,13
599,0,5,15
600,0,3,17
601,0,3,17
602,0,5,15
603,0,4,16
604,0,3,17
605,0,4,16
606,0,2,18
607,0,3,17
608,0,2,18
609,0,3,17
610,0,4,16
611,0,3,17
612,0,2,18
613,0,4,16
614,0,5,15
615,0,3,17
616,0,1,19
617,1,8,12
618,0,2,18
619,0,4,16
620,0,5,15
621,0,4,16
622,53185,20,0
623,0,3,17
624,0,4,16
625,0,4,16
626,0,5,15
627,0,3,17
628,0,4,16
629,0,4,16
630,0,2,18
631,0,2,18
632,0,3,17
633,0,2,18
634,0,4,16
635,0,3,17
636,0,4,16
637,0,4,16
638,0,3,17
639,0,2,18
640,0,3,17
641,0,1,19
642,0,2,18
643,0,4,16
644,0,3,17
645,0,3,17
646,0,2,18
647,0,2,18
648,0,2,18
649,0,1,19
650,0,4,16
651,0,3,17
652,0,4,16
653,0,2,18
654,0,4,16
655,0,3,17
656,0,2,18
657,0,2,18
658,0,4,16
659,0,1,19
660,0,3,17
661,0,1,19
662,0,1,19
663,0,4,16
664,0,2,18
665,0,4,16
666,0,2,18
667,0,4,16
668,0,2,18
669,0,3,17
670,0,5,15
671,0,3,17
672,0,3,17
673,0,1,19
674,0,1,19
675,0,2,18
676,0,2,18
677,0,3,17
678,0,3,17
679,0,4,16
680,0,2,18
681,0,4,16
682,0,4,16
683,1,8,12
684,0,2,18
685,0,2,18
686,0,4,16
687,0,5,15
688,0,5,15
689,1,7,13
690,0,5,15
691,0,2,18
692,0,3,17
693,0,2,18
694,0,3,17
695,0,4,16
696,0,3,17
697,0,3,17
698,0,4,16
699,0,5,15
700,0,2,18
701,0,2,18
702,0,2,18
703,0,2,18
704,0,3,17
705,0,2,18
706,0,2,18
707,0,5,15
708,0,4,16
709,0,3,17
710,0,3,17
711,0,3,17
712,0,1,19
713,0,1,19
714,0,3,17
715,0,1,19
716,0,2,18
717,0,4,16
718,0,1,19
719,0,2,18
720,0,1,19
721,0,2,18
722,0,3,17
723,0,5,15
724,0,3,17
725,0,2,18
726,0,1,19
727,0,2,18
728,0,1,19
729,0,3,17
730,0,2,18
731,0,2,18
732,0,5,15
733,0,4,16
734,0,2,18
735,0,2,18
736,0,3,17
737,0,5,15
738,0,5,15
739,0,4,16
740,0,1,19
741,0,3,17
742,0,2,18
743,0,3,17
744,0,1,19
745,0,4,16
746,0,4,16
747,0,4,16
748,0,3,17
749,0,2,18
750,0,1,19
751,0,2,18
752,0,5,15
753,0,4,16
754,0,4,16
755,1,6,14
756,0,4,16
757,0,3,17
758,0,4,16
759,0,3,17
760,0,3,17
761,0,1,19
762,0,4,16
763,0,3,17
764,0,4,16
765,0,2,18
766,1,7,13
767,0,4,16
768,0,3,17
769,0,4,16
770,0,4,16
771,0,3,17
772,0,1,19
773,0,2,18
774,0,3,17
775,0,3,17
776,0,4,16
777,0,4,16
778,0,4,16
779,0,1,19
780,0,3,17
781,0,3,17
782,0,3,17
783,0,2,18
784,0,2,18
785,0,2,18
786,0,2,18
787,0,2,18
788,0,2,18
789,0,2,18
790,0,2,18
791,0,4,16
792,0,1,19
793,0,2,18
794,0,1,19
795,0,2,18
796,0,5,15
797,0,3,17
798,0,3,17
799,0,5,15
800,0,3,17
801,0,2,18
802,0,5,15
803,0,4,16
804,0,2,18
805,0,2,18
806,1,7,13
807,0,3,17
808,0,3,17
809,0,5,15
810,0,1,19
811,0,1,19
812,0,3,17
813,0,5,15
814,0,2,18
815,0,4,16
816,0,2,18
817,1,7,13
818,0,5,15
819,0,2,18
820,0,2,18
821,0,3,17
822,0,3,17
823,0,2,18
824,0,5,15
825,0,2,18
826,0,4,16
827,0,2,18
828,0,3,17
829,0,4,16
830,0,3,17
831,0,4,16
832,1,7,13
833,0,3,17
834,0,2,18
835,0,3,17
836,0,5,15
837,0,4,16
838,0,3,17
839,0,2,18
840,0,1,19
841,0,1,19
842,0,3,17
843,0,3,17
844,0,1,19
845,0,2,18
846,0,4,16
847,0,2,18
848,0,3,17
849,0,4,16
850,0,2,18
851,1,9,11
852,0,2,18
853,0,3,17
854,0,3,17
855,0,1,19
856,0,2,18
857,0,3,17
858,0,2,18
859,0,5,15
860,0,3,17
861,0,1,19
862,0,3,17
863,0,2,18
864,0,2,18
865,0,3,17
866,0,4,16
867,0,1,19
868,0,2,18
869,0,3,17
870,0,3,17
871,0,2,18
872,0,5,15
873,0,2,18
874,0,3,17
875,0,2,18
876,0,3,17
877,0,2,18
878,0,2,18
879,0,3,17
880,0,3,17
881,0,4,16
882,0,2,18
883,0,2,18
884,0,2,18
885,0,4,16
886,0,3,17
887,0,3,17
888,0,3,17
889,0,2,18
890,0,3,17
891,0,2,18
892,0,2,18
893,0,4,16
894,0,3,17
895,0,3,17
896,0,3,17
897,0,3,17
898,0,4,16
899,0,1,19
900,0,1,19
901,0,5,15
902,0,2,18
903,0,4,16
904,0,4,16
905,0,4,16
906,0,4,16
907,0,3,17
908,0,5,15
909,0,5,15
910,0,3,17
911,0,4,16
912,0,2,18
913,0,2,18
914,0,3,17
915,0,2,18
916,0,2,18
917,0,2,18
918,0,4,16
919,0,1,19
920,0,3,17
921,0,1,19
922,1,8,12
923,0,3,17
924,0,5,15
925,0,2,18
926,0,2,18
927,0,3,17
928,0,3,17
929,1,7,13
930,0,4,16
931,0,4,16
932,0,3,17
933,0,2,18
934,0,5,15
935,0,1,19
936,0,1,19
937,0,2,18
938,0,4,16
939,0,2,18
940,0,3,17
941,0,3,17
942,0,1,19
943,0,5,15
944,0,5,15
945,0,3,17
946,0,2,18
947,0,1,19
948,0,3,17
949,0,3,17
950,0,3,17
951,0,2,18
952,0,3,17
953,0,4,16
954,0,3,17
955,0,3,17
956,1,6,14
957,0,2,18
958,0,3,17
959,0,1,19
960,0,2,18
961,0,4,16
962,0,2,18
963,0,1,19
964,0,2,18
965,0,3,17
966,0,2,18
967,0,3,17
968,0,5,15
969,0,2,18
970,0,3,17
971,0,3,17
972,0,3,17
973,0,3,17
974,0,4,16
975,0,1,19
976,0,3,17
977,0,2,18
978,0,2,18
979,0,4,16
980,0,2,18
981,0,4,16
982,0,2,18
983,0,5,15
984,0,3,17
985,0,3,17
986,0,2,18
987,0,2,18
988,0,2,18
989,0,1,19
990,0,2,18
991,0,2,18
992,0,5,15
993,0,2,18
994,0,1,19
995,0,2,18
996,0,5,15
997,0,1,19
998,0,2,18
999,0,5,15
1000,0,5,15
1001,0,2,18
1002,0,4,16
1003,0,5,15
1004,0,4,16
1005,0,3,17
1006,0,2,18
1007,0,3,17
1008,0,4,16
1009,0,2,18
1010,0,3,17
1011,0,3,17
1012,0,3,17
1013,0,3,17
1014,0,1,19
1015,0,3,17
1016,1,7,13
1017,0,2,18
1018,0,2,18
1019,0,3,17
1020,0,4,16
1021,0,2,18
1022,0,5,15
1023,0,2,18
1024,0,3,17
1025,0,2,18
